Matricula,Nome,Tipo_Aviao,Total_Seats,Business_Seats,Economic_Seats
CSTTA,VIEIRA DA SILVA,319,144,12,126
CSTTB,GAGO COUTINHO,319,144,12,126
CSTTC,FERNANDO PESSOA,319,144,12,126
CSTTD,AMADEU DE SOUZA CARDOSO,319,144,12,126
CSTTE,FRANCISCO D'OLLANDA,319,144,12,126
CSTTF,CALOUSTE GULBENKIAN,319,144,12,126
CSTTG,HUMBERTO DELGADO,319,144,12,126
CSTTH,ANTONIO SERGIO,319,144,12,126
CSTTI,ECA DE QUEIROS,319,144,12,126
CSTTJ,EUSEBIO,319,144,12,126
CSTTK,MIGUEL TORGA,319,144,12,126
CSTTL,ALMEIDA GARRETT,319,144,12,126
CSTTM,ALEXANDRE HERCULANO,319,144,12,126
CSTTN,CAMILO CASTELO BRANCO,319,144,12,126
CSTTO,ANTERO DE QUENTAL,319,144,12,126
CSTTP,JOSEFA D'OBIDOS,319,144,12,126
CSTTQ,AGOSTINHO DA SILVA,319,144,12,126
CSTTR,Soares dos Reis,319,144,12,126
CSTTS,GUILHERMINA SUGGIA,319,144,12,126
CSTNA,GRAO VASCO,320,174,12,156
CSTNB,SOPHIA DE MELLO BREYNER,320,174,12,156
CSTNE,SA DE MIRANDA,320,174,12,156
CSTNG,MOUZINHO DA SILVEIRA,320,174,12,156
CSTNH,ALMADA NEGREIROS,320,174,12,156
CSTNI,AQUILINO RIBEIRO,320,174,12,156
CSTNJ,FLORBELA ESPANCA,320,174,12,156
CSTNK,TEOFILO BRAGA,320,174,12,156
CSTNL,VITORINO NEMESIO,320,174,12,156
CSTNM,NATALIA CORREIA,320,174,12,156
CSTNN,GIL VICENTE,320,174,12,156
CSTMW,LUISA TODI,320,174,12,156
CSTQD,EUGENIO DE ANDRADE,320,174,12,156
CSTNP,ALEXANDRE O'NEILL,320,174,12,156
CSTNQ,JOSE REGIO,320,174,12,156
CSTNR,LUIS DE FREITAS BRANCO,320,174,12,156
CSTNS,D. AFONSO HENRIQUES,320,174,12,156
CSTNT,EUGENIO DE ANDRADE,320,174,12,156
CSTNU,xxx,320,174,12,156
CSTNV,xxx,320,174,12,156
CSTJE,PERO VAZ DE CAMINHA,321,216,12,198
CSTJF,LUIS VAZ DE CAMOES,321,216,12,198
CSTJG,AMALIA RODRIGUES,321,216,12,198
CSTOF,INFANTE D. HENRIQUE,332,263,24,239
CSTOE,PEDRO ALVARES CABRAL,332,263,24,239
CSTOG,BARTOLOMEU GUSMAO,332,263,24,239
CSTOH,NUNO GONGALVES,332,263,24,239
CSTOI,DAMIAO DE GOIS,332,263,24,239
CSTOJ,D. JOAO II,332,263,24,239
CSTOK,PADRE ANTONIO VIEIRA,332,263,24,239
CSTOL,JOAO GONCALVES ZARCO,332,269,25,244
CSTOM,VASCO DA GAMA,332,269,25,244
CSTON,JOAO XXI,332,269,25,244
CSTOO,FERNAO DE MAGALHAES,332,269,25,244
CSTOP,PEDRO NUNES,332,269,25,244
CSTOA,FERNAO MENDES PINTO,343,274,36,232
CSTOB,D.JOAO DE CASTRO,343,274,36,232
CSTOC,VENCESLAU DE MORAES,343,274,36,232
CSTOD,D. FRANCISCO DE ALMEIDA,343,274,36,232
