origin,destination,distance_in_nautical_miles,distance_in_km
ACC,CMN,1704.37,3156.49
ACC,LIS,2052.67,3801.54
ACC,RAK,1615.37,2997.66
ACC,TMS,518.89,960.99
ACE,OPO,775.69,1436.58
AGP,LIS,253.42,469.34
ALG,LIS,599.33,1109.95
AMS,LIS,996.56,1845.62
AMS,OPO,861.15,1594.85
ARN,LIS,1618.19,2996.9
AZS,LIS,3323.7,6155.5
BCN,FNC,1039.29,1924.77
BCN,LIS,536.42,993.46
BCN,OPO,484.81,897.87
BEL,LIS,3246.41,6012.35
BEL,MAO,701.91,1299.93
BIO,LIS,391.08,724.27
BKO,LIS,1578.18,2922.79
BLQ,LIS,975.68,1806.95
BLQ,ZAG,214.62,397.48
BOD,LIS,523.83,970.14
BOG,LIS,4068.77,7535.37
BOG,PTY,408.49,756.53
BOS,LIS,2771.01,5131.91
BRU,LIS,927.05,1716.89
BRU,OPO,795.53,1473.32
BSB,LIS,3935.27,7288.12
BUD,LIS,1338.63,2479.14
BUD,PRG,254.12,470.63
BVC,LIS,1541.69,2855.21
CAG,LIS,848.85,1572.07
CCS,FNC,3062.63,5671.98
CCS,LIS,3508.31,6497.39
CCS,OPO,3562.03,6596.89
CDG,BRU,135.9,251.69
CDG,LIS,793.29,1469.17
CDG,LUX,147.66,273.47
CDG,OPO,664.59,1230.82
CGH,VCP,45.71,84.66
CMN,ACC,1704.37,3156.49
CMN,LIS,332.93,616.6
CNF,LIS,4013.79,7433.54
CNF,SID,2510,4655.93
CPH,ARN,295.03,546.39
CPH,LIS,1334.08,2470.71
DKR,LIS,1507.8,2792.44
DME,LIS,2111.9,3911.24
DUS,LIS,1006.24,1863.56
DUS,OPO,877.58,1625.28
EWR,LIS,2932,5430.07
EWR,OPO,2893.05,5357.93
FAO,LIS,119.19,220.75
FAO,OPO,255.42,473.03
FCO,LIS,992.22,1837.6
FCO,OPO,937.98,1737.14
FNC,BCN,1039.29,1924.77
FNC,CCS,3062.63,5671.98
FNC,LGW,1325.27,2454.39
FNC,LIS,520.84,964.59
FNC,MAD,788.04,1459.44
FNC,OPO,642.32,1189.58
FOR,LIS,3028.08,5608.01
FRA,LIS,1011.37,1873.06
FUE,OPO,807.94,1496.3
GIG,GRU,182.34,337.69
GIG,LIS,4162.73,7709.38
GIG,OPO,4297.47,7958.91
GOT,LIS,1410.34,2613.68
GRU,GIG,182.34,337.69
GRU,LIS,4281.52,7929.38
GRU,OPO,4413.41,8173.64
GVA,FAO,833.97,1544.51
GVA,LIS,803.68,1488.42
GVA,OPO,702.54,1301.11
GVA,ZRH,127.26,235.68
HAJ,LIS,1135.36,2104.09
HAM,LIS,1186.15,2196.76
HEL,LIS,1815.44,3362.19
