Voo,Origem,Destino,Configuracao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
208,DKR,LIS,125,9/1/2009 0:35,9/1/2009 4:40,15,110,6,107
210,DKR,LIS,125,9/1/2009 3:00,9/1/2009 6:55,15,110,8,108
611,BRU,LIS,128,9/1/2009 4:25,9/1/2009 7:05,15,113,2,89
751,BCN,LIS,128,9/1/2009 4:35,9/1/2009 6:35,15,113,2,72
459,ORY,OPO,128,9/1/2009 5:00,9/1/2009 7:05,15,113,0,67
1948,LIS,OPO,128,9/1/2009 5:10,9/1/2009 6:05,15,113,0,6
1900,FAO,LIS,128,9/1/2009 5:15,9/1/2009 6:00,15,113,5,99
464,OPO,ORY,128,9/1/2009 6:05,9/1/2009 8:10,15,113,13,113
711,MAD,LIS,128,9/1/2009 6:05,9/1/2009 7:20,15,113,2,51
748,LIS,BCN,128,9/1/2009 6:05,9/1/2009 7:55,15,113,2,98
1572,FNC,OPO,132,9/1/2009 6:05,9/1/2009 8:00,0,132,0,121
604,LIS,BRU,128,9/1/2009 6:15,9/1/2009 9:00,15,113,11,105
1604,FNC,LIS,128,9/1/2009 6:40,9/1/2009 8:15,15,113,15,113
1953,OPO,LIS,128,9/1/2009 6:45,9/1/2009 7:40,15,113,15,113
856,LIS,BLQ,128,9/1/2009 7:05,9/1/2009 9:50,15,113,7,113
1573,OPO,FNC,132,9/1/2009 7:50,9/1/2009 9:50,0,132,0,131
712,LIS,MAD,128,9/1/2009 8:05,9/1/2009 9:20,15,113,3,92
746,LIS,BCN,128,9/1/2009 8:05,9/1/2009 9:55,15,113,2,98
506,LIS,OSL,128,9/1/2009 8:25,9/1/2009 12:25,15,113,0,75
434,LIS,ORY,128,9/1/2009 8:35,9/1/2009 11:05,15,113,15,107
749,BCN,LIS,128,9/1/2009 8:40,9/1/2009 10:40,15,113,5,85
451,ORY,OPO,128,9/1/2009 8:55,9/1/2009 11:00,15,113,1,72
608,LIS,BRU,128,9/1/2009 9:00,9/1/2009 11:45,15,113,9,110
605,BRU,LIS,128,9/1/2009 9:45,9/1/2009 12:35,15,113,0,89
1574,FNC,OPO,128,9/1/2009 10:30,9/1/2009 12:25,15,113,1,109
857,BLQ,LIS,128,9/1/2009 10:35,9/1/2009 13:35,15,113,1,83
745,BCN,LIS,128,9/1/2009 10:40,9/1/2009 12:40,15,113,4,93
714,LIS,MAD,132,9/1/2009 10:50,9/1/2009 12:05,0,132,0,122
