tail_number,checkTypeCode,scheduleStart,airport,status,scheduleEnd
FRAJB,PURGAS,01/09/2009 01:00,CDG,S,01/09/2009 02:00
CSTTA,T1,01/09/2009 01:00,LIS,S,01/09/2009 02:30
CSTDI,T2,01/09/2009 01:00,LIS,S,01/09/2009 03:00
CSTTC,T1,01/09/2009 01:00,MAD,S,01/09/2009 03:15
CSTKJ,36,01/09/2009 02:00,OPO,S,01/09/2009 04:00
CSTKK,36,01/09/2009 02:00,PDL,S,01/09/2009 04:00
CSTKL,36,01/09/2009 02:00,FNC,S,01/09/2009 04:00
CSTNB,T2,01/09/2009 02:00,LIS,S,01/09/2009 05:00
FRAJB,T2,01/09/2009 03:00,CDG,S,01/09/2009 06:00
CSTEJ,T2+ET,01/09/2009 04:00,LIS,S,01/09/2009 09:30
CSTQK,T1,01/09/2009 05:00,LIS,S,01/09/2009 06:30
CSTOO,PURGAS,01/09/2009 05:20,LIS,S,01/09/2009 06:45
CSTOG,A,01/09/2009 05:40,LIS,S,02/09/2009 12:00
CSTOF,T1+ET,01/09/2009 06:00,LIS,S,01/09/2009 08:00
CSTOD,T1,01/09/2009 06:15,LIS,S,01/09/2009 08:15
CSTOP,PURGAS,01/09/2009 06:30,LIS,S,01/09/2009 07:55
CSTTP,RIB_5,01/09/2009 06:40,LIS,S,01/09/2009 07:00
CSTOO,T1+ET,01/09/2009 06:50,LIS,S,01/09/2009 08:50
CSTOH,T1+ET,01/09/2009 07:00,LIS,S,01/09/2009 09:00
CSTOE,T1+ET,01/09/2009 07:10,LIS,S,01/09/2009 08:20
CSTOK,T1+ET,01/09/2009 07:15,LIS,S,01/09/2009 14:30
CSTOI,PURGAS,01/09/2009 07:20,OPO,S,01/09/2009 08:13
CSTOP,T1+ET,01/09/2009 08:00,LIS,S,01/09/2009 10:00
CSTOI,T1+ET,01/09/2009 08:15,OPO,S,01/09/2009 09:10
CSTKI,T1+ET,01/09/2009 09:00,LIS,S,01/09/2009 12:45
CSTON,T1+ET,01/09/2009 10:15,LIS,S,01/09/2009 12:15
CSTOJ,T2+ET,01/09/2009 10:45,LIS,S,01/09/2009 13:45
CSTTG,A,01/09/2009 11:40,LIS,S,02/09/2009 09:50
CSTOL,T1+ET,01/09/2009 11:45,LIS,S,01/09/2009 13:45
CSTGV,36+ET,01/09/2009 11:45,LIS,S,01/09/2009 14:00
CSTOC,PURGAS,01/09/2009 12:00,LIS,S,01/09/2009 13:50
CSTKN,36+ET,01/09/2009 12:00,TER,S,01/09/2009 14:00
CSTOC,T1,01/09/2009 14:00,LIS,S,01/09/2009 16:00
CSTJE,T2,01/09/2009 15:00,LIS,S,01/09/2009 17:30
CSTOB,T2,01/09/2009 15:30,LIS,S,01/09/2009 18:30
CSTTK,T2,01/09/2009 16:35,LIS,S,01/09/2009 18:35
CSTNP,T2,01/09/2009 18:30,LIS,S,01/09/2009 21:00
CSTDI,PURGAS,01/09/2009 19:00,LIS,S,01/09/2009 21:00
CSTJF,T1,01/09/2009 20:00,LIS,S,01/09/2009 21:00
CSTDI,T1+ET,01/09/2009 21:15,LIS,S,02/09/2009 03:00
CSTNM,T1,01/09/2009 22:00,LIS,S,02/09/2009 02:00
CSTTB,T1,01/09/2009 22:00,LIS,S,02/09/2009 04:00
CSTTA,T2,01/09/2009 22:00,LIS,S,02/09/2009 04:00
CSTNL,T2,01/09/2009 23:00,LIS,S,02/09/2009 05:00
CSTTC,T1,01/09/2009 23:30,FNC,S,02/09/2009 01:00
CSTTD,T1,01/09/2009 23:30,MUC,S,02/09/2009 01:00
CSTTJ,T1,01/09/2009 23:30,MAD,S,02/09/2009 01:00
CSTTL,T1,01/09/2009 23:30,GVA,S,02/09/2009 01:00
CSTTM,T1,01/09/2009 23:30,BCN,S,02/09/2009 01:00
CSTTN,T1,01/09/2009 23:30,CDG,S,02/09/2009 01:00
CSTTO,T1,01/09/2009 23:30,LIS,S,02/09/2009 01:00
CSTTE,T1,01/09/2009 23:30,ZRH,S,02/09/2009 01:00
CSTTQ,T1,01/09/2009 23:30,ORY,S,02/09/2009 01:00
CSTTS,T1,01/09/2009 23:30,HAM,S,02/09/2009 01:00
CSTNE,T1,01/09/2009 23:30,LHR,S,02/09/2009 01:00
CSTNH,T1,01/09/2009 23:30,ORY,S,02/09/2009 01:00
CSTNJ,T1,01/09/2009 23:30,FRA,S,02/09/2009 01:00
CSTNK,T1,01/09/2009 23:30,AMS,S,02/09/2009 01:00
CSTNN,T1,01/09/2009 23:30,LIN,S,02/09/2009 01:00
CSTNQ,T1,01/09/2009 23:30,LHR,S,02/09/2009 01:00
CSTNR,T1,01/09/2009 23:30,LIS,S,02/09/2009 01:00
CSTQD,T1,01/09/2009 23:30,WAW,S,02/09/2009 01:00
CSTNI,T1,01/09/2009 23:30,FCO,S,02/09/2009 01:00
CSTTK,T1,01/09/2009 23:30,BRU,S,02/09/2009 01:00
CSTNB,T1,01/09/2009 23:30,OPO,S,02/09/2009 01:00
CSTTF,T1,01/09/2009 23:30,FAO,S,02/09/2009 01:00
CSTTP,T1,01/09/2009 23:30,OPO,S,02/09/2009 01:00
CSTMW,T2,01/09/2009 23:30,LIS,S,02/09/2009 02:00
CSTNG,T2,01/09/2009 23:30,LIS,S,02/09/2009 02:00
CSTNA,T2,01/09/2009 23:30,LIS,S,02/09/2009 05:00
CSTTR,T2,01/09/2009 23:45,FNC,S,02/09/2009 02:45
CSTJG,T1,01/09/2009 23:59,FNC,S,02/09/2009 02:00
CSTKL,36,02/09/2009 00:00,PDL,S,02/09/2009 02:00
CSTGU,36,02/09/2009 00:00,LIS,S,02/09/2009 02:00
